,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,bb4,8d,1,1,1,I,5,0,0,0,0,mf,70,67,0.8035714285714286
1,c5,16,1,1,4,I,6,1,0,0,0,mf,72,69,0.26785714285714285
2,bb4,4d,1,2,1,I,5,0,0,0,0,mf,70,67,1.6071428571428572
3,bb4,8,1,3,3,V6,1,0,0,0,0,mf,70,67,0.5357142857142857
4,eb5,8,1,4,1,vi,3,0,0,0,0,mf,75,72,0.5357142857142857
5,eb5,8,1,4,3,viidim6/V,5,0,0,0,0,mf,75,72,0.5357142857142857
6,d5,8,2,1,1,V,3,0,0,0,1,mf,74,71,0.5357142857142857
7,c5,16,2,1,3,V,2,1,0,0,0,mf,72,69,0.26785714285714285
8,bb4,16,2,1,4,V,1,0,0,0,0,mf,70,67,0.26785714285714285
9,bb4,4,2,2,1,V,1,0,0,0,0,mf,70,67,1.0714285714285714
10,d5,16,2,3,1,V42/ii,2,1,0,1,0,mf,74,71,0.26785714285714285
11,c5,16,2,3,2,V42/ii,1,0,0,1,0,mf,72,69,0.26785714285714285
12,c5,4,2,3,3,V42/ii,1,0,0,1,0,mf,72,69,1.0714285714285714
13,f5,16,2,4,3,ii6,1,0,0,1,0,mf,77,74,0.26785714285714285
14,d5,16,2,4,4,ii6,6,1,0,1,0,mf,74,71,0.26785714285714285
15,c5,16,3,1,1,V42,2,1,0,1,0,mf,72,69,0.26785714285714285
16,bb4,16,3,1,2,V42,1,0,0,1,0,mf,70,67,0.26785714285714285
17,bb4,4,3,1,3,V42,1,0,0,1,0,mf,70,67,1.0714285714285714
18,eb5,16,3,2,3,I6,1,0,0,1,0,mf,75,72,0.26785714285714285
19,bb4,16,3,2,4,I6,5,0,0,1,0,mf,70,67,0.26785714285714285
20,bb4,4d,3,3,1,V64,1,0,0,1,0,mf,70,67,1.6071428571428572
21,ab4,8,3,4,3,V7,7,0,0,1,1,mf,68,65,0.5357142857142857
22,g4,8,4,1,1,I,3,0,0,1,0,p,67,64,0.5357142857142857
