,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,f4,2,1,1,1,I,1,0,0,0,0,p,65,60,0.7894736842105263,54-2,55-2,56-2,57-2,58-2,59-2,60-2,61-2,62-2,63-2,64-2,65-2
1,a4,4,1,3,1,I,3,0,0,0,0,c,69,64,0.39473684210526316,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4
2,c5,2,2,1,1,V7/IV,5,0,0,0,0,c,72,67,0.7894736842105263,61-2,62-2,63-2,64-2,65-2,66-2,67-2,68-2,69-2,70-2,71-2,72-2
3,a4,4,2,3,1,V7/IV,3,0,0,0,0,c,69,64,0.39473684210526316,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4
4,bb4,2,3,1,1,IV64,1,0,0,0,0,c,70,65,0.7894736842105263,59-2,60-2,61-2,62-2,63-2,64-2,65-2,66-2,67-2,68-2,69-2,70-2
5,g5,4,3,3,1,IV64,6,1,0,0,0,c,79,74,0.39473684210526316,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4
6,f5,8,4,1,1,viidim6,2,1,0,0,0,mf,77,72,0.19736842105263158,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
7,e5,8,4,1,3,viidim6,1,0,0,0,0,mf,76,71,0.19736842105263158,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8
8,e5,4,4,2,1,viidim6,1,0,0,0,0,mf,76,71,0.39473684210526316,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4
9,r,4,4,3,1,viidim6,0,0,0,0,0,mf,0,0,0.39473684210526316,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4
10,f5,4,5,1,1,I,1,0,0,1,0,mf,77,72,0.39473684210526316,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4
11,a4,4,5,2,1,I,3,0,0,1,0,d,69,64,0.39473684210526316,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4
12,d5,4,5,3,1,ii,6,1,0,1,0,d,74,69,0.39473684210526316,63-4,64-4,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4
13,g4,4,6,1,1,ii,2,1,0,1,0,d,67,62,0.39473684210526316,56-4,57-4,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4
14,c5,4d,6,2,1,I,5,0,0,1,0,a,72,67,0.5921052631578947,61-4d,62-4d,63-4d,64-4d,65-4d,66-4d,67-4d,68-4d,69-4d,70-4d,71-4d,72-4d
15,a4,8,6,3,3,I,3,0,0,1,0,p,69,64,0.19736842105263158,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8
16,f4,2d,7,1,1,I,1,0,0,1,0,p,65,60,1.1842105263157894,54-2d,55-2d,56-2d,57-2d,58-2d,59-2d,60-2d,61-2d,62-2d,63-2d,64-2d,65-2d
17,g4,2d,8,1,1,V7/V,1,0,0,1,0,p,67,62,1.1842105263157894,56-2d,57-2d,58-2d,59-2d,60-2d,61-2d,62-2d,63-2d,64-2d,65-2d,66-2d,67-2d
