note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
bb4,4,1,1,1,I,1,0,0,0,0,p
d5,8d,1,2,1,I,3,0,0,0,0,p
eb5,16,1,2,4,I,4,1,0,0,1,p
e5,8d,1,3,1,V6,7,1,0,0,0,d
f5,16,1,3,4,V6,1,0,0,0,0,d
c5,8,1,4,1,V6,5,0,0,0,0,pp
r,8,1,4,3,V6,0,0,0,0,0,pp
eb5,8d,2,1,1,IV6,1,0,0,0,0,c
f5,16,2,1,4,IV6,2,1,0,0,1,c
g5,8d,2,2,1,IV6,3,0,0,0,0,c
a5,16,2,2,4,IV6,4,1,0,0,1,c
a5,8d,2,3,1,I6,7,1,0,0,0,d
bb5,16,2,3,4,I6,1,0,0,0,0,d
f5,8,2,4,1,I6,5,0,0,0,0,d
r,8,2,4,3,I6,0,0,0,0,0,p
g5,8d,3,1,1,ii6,5,0,0,1,0,p
ab5,32,3,1,4,ii6,6,1,0,1,0,p
g5,32,3,1,4&,ii6,5,0,0,1,0,p
f5,16,3,2,1,ii6,4,1,0,1,0,p
eb5,16,3,2,2,ii6,3,0,0,1,0,p
d5,16,3,2,3,ii6,2,1,0,1,0,p
c5,16,3,2,4,ii6,1,0,0,1,0,p
e5,16,3,3,1,I6,4,1,0,1,0,a
f5,8,3,3,2,I6,5,0,0,1,0,p
g5,32,3,3,4,I6,6,1,0,1,0,p
f5,32,3,3,4&,I6,5,0,0,1,0,p
eb5,16,3,4,1,I6,4,1,0,1,0,p
d5,16,3,4,2,I6,3,0,0,1,0,p
c5,16,3,4,3,I6,2,1,0,1,0,p
bb4,16,3,4,4,I6,1,0,0,1,0,p
f5,16,4,1,1,V65,1,0,0,1,0,a
eb5,8,4,1,2,V65,7,0,0,1,0,p
c5,16,4,1,4,V65,5,0,0,1,0,p
eb5,16,4,2,1,I,4,1,0,1,0,a
d5,8,4,2,2,I,3,0,0,1,0,p
bb4,16,4,2,4,I,1,0,0,1,0,p
d5,8d,4,3,1,I64,3,0,0,1,0,p
eb5,32,4,3,4,I64,4,1,0,1,0,p
d5,32,4,3,4&,I64,3,0,0,1,0,p
c5,16,4,4,1,V,5,0,0,1,0,p
f5,16,4,4,2,V,1,0,0,1,0,p
eb5,16,4,4,3,V7,7,0,0,1,0,p
c5,16,4,4,4,V7,5,0,0,1,0,p
