note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f5,2,1,1,1,I,5,0,0,0,0,mf
d5,8,1,2,3,I,3,0,0,0,0,mf
bb5,8,1,2,5,I,1,0,0,0,0,mf
f5,2,2,1,1,I,5,0,0,0,0,mf
d5,8,2,2,3,I,3,0,0,0,0,mf
bb4,8,2,2,5,I,1,0,0,0,0,mf
bb4,8,3,1,1,IV64,5,0,0,1,0,c
eb5,8,3,1,3,IV64,1,0,0,1,0,c
eb5,8,3,1,5,IV64,1,0,0,1,0,c
eb5,8,3,2,1,IV64,1,0,0,1,0,c
g5,8,3,2,3,IV64,3,0,0,1,0,c
g5,8,3,2,5,IV64,3,0,0,1,0,c
bb5,4,4,1,1,IV64,5,0,0,1,0,d
g5,8,4,1,5,IV64,3,0,0,1,0,d
f5,8,4,2,1,I,5,0,0,1,0,d
r,8,4,2,3,I,0,0,0,1,0,d
d5,8,4,2,5,I,3,0,0,1,0,c
