note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,4,0,4,1,I,5,0,0,0,0,a
bb4,8,1,1,1,I,4,1,0,0,0,p
a4,8,1,1,3,I,3,0,0,0,0,p
g4,8,1,2,1,I,2,1,0,0,0,p
f4,8,1,2,3,I,1,0,0,0,0,p
a4,8,1,3,1,V7,6,1,0,0,0,p
g4,8,1,3,3,V7,5,0,0,0,0,p
bb4,8,1,4,1,V7,7,0,0,0,0,p
e4,8,1,4,3,V7,3,0,0,0,0,p
f4,4,2,1,1,I,1,0,0,0,0,p
c4,4,2,2,1,I,5,0,0,0,0,p
c5,2,2,3,1,I,5,0,0,0,0,a
bb4,8,3,1,1,I,4,1,1,0,0,p
a4,8,3,1,3,I,3,0,1,0,0,p
g4,8,3,2,1,I,2,1,1,0,0,p
f4,8,3,2,3,I,1,0,1,0,0,p
a4,8,3,3,1,V7,6,1,1,0,0,p
g4,8,3,3,3,V7,5,0,1,0,0,p
bb4,8,3,4,1,V7,7,0,1,0,0,p
e4,8,3,4,3,V7,3,0,1,0,0,p
f4,1,4,1,1,I,1,0,1,0,0,p
