note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f5,2,1,1,1,I6,1,0,0,0,0,mp
a5,2,1,3,1,I,3,0,0,0,0,c
a5,8,2,1,1,V42,6,1,0,0,0,a
g5,8,2,1,3,V42,5,0,0,0,0,f
g5,8,2,2,1,V,5,0,0,0,0,f
e5,8,2,2,3,V,3,0,0,0,0,f
f5,4d,2,3,1,I6,1,0,0,0,0,f
a5,8,2,4,3,I6,3,0,0,0,0,f
a5,8,3,1,1,V42,6,1,0,0,0,a
g5,8,3,1,3,V42,5,0,0,0,0,f
g5,8,3,2,1,V,5,0,0,0,0,f
e5,8,3,2,3,V,3,0,0,0,0,f
f5,4d,3,3,1,I6,1,0,0,0,0,f
a5,8,3,4,3,I6,3,0,0,0,0,f
c5,8,4,1,1,V43,1,0,0,1,0,a
bb5,8,4,1,3,V43,7,0,0,1,0,f
bb5,8,4,2,1,V65,7,0,0,1,0,f
g5,8,4,2,3,V65,5,0,0,1,0,f
bb5,8,4,3,1,I,4,1,0,1,0,a
a5,8,4,3,3,I,3,0,0,1,0,f
a5,8,4,4,1,I6,3,0,0,1,0,f
f5,8,4,4,3,I6,1,0,0,1,0,f
d5,4d,5,1,1,IV,3,0,0,1,1,f
e5,8,5,2,3,IV,4,1,0,1,0,c
f5,4,5,3,1,IV,5,0,0,1,0,c
g5,4,5,4,1,V65/V,1,0,0,1,0,d
c5,2,6,1,1,I64,5,0,0,1,0,d
