note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f5,4d,1,1,1,I,1,0,0,0,1,a
g5,16,1,2,3,I,2,1,0,0,0,f
f5,16,1,2,4,I,1,0,0,0,0,f
e5,16,1,3,1,I,7,1,0,0,0,f
f5,16,1,3,2,I,1,0,0,0,0,f
a5,16,1,3,3,I,3,0,0,0,0,f
f5,16,1,3,4,I,1,0,0,0,0,f
c5,4d,2,1,1,I,5,0,0,0,0,a
d5,16,2,2,3,I,6,1,0,0,0,f
c5,16,2,2,4,I,5,0,0,0,0,f
b4,16,2,3,1,I,4,1,0,0,0,f
c5,16,2,3,2,I,5,0,0,0,0,f
f5,16,2,3,3,I,1,0,0,0,0,f
c5,16,2,3,4,I,5,0,0,0,0,f
a4,4d,3,1,1,I,3,0,0,0,0,a
bb4,16,3,2,3,I,4,1,0,0,0,f
a4,16,3,2,4,I,3,0,0,0,0,f
g#4,16,3,3,1,I,2,1,0,0,0,f
a4,16,3,3,2,I,3,0,0,0,0,f
c4,16,3,3,3,I,5,0,0,0,0,f
a4,16,3,3,4,I,3,0,0,0,0,f
f4,4,4,1,1,I,1,0,0,1,0,f
f4,4,4,2,1,I,1,0,0,1,0,p
f4,4,4,3,1,I,1,0,0,1,0,p
f4,1,5,1,1,V7/IV,1,0,0,1,0,p
bb4,4,6,2,1,V7/ii,7,0,0,1,0,p
a4,4d,6,3,1,I,3,0,0,1,0,p
g4,8,7,1,3,ii,1,0,0,1,0,p
d5,8,7,2,1,ii,5,0,0,1,0,a
c5,8,7,2,3,ii,4,1,0,1,0,p
bb4,8,7,3,1,ii,3,0,0,1,0,p
a4,8,7,3,3,viihdim/V,7,0,0,1,0,p
a4,8,8,1,1,V,6,1,0,1,0,p
g4,8,8,1,3,V,5,0,0,1,0,p
f4,8,8,2,1,V,4,1,0,1,1,p
e4,8,8,2,3,V,3,0,0,1,0,p
d4,8,8,3,1,V,2,1,0,1,1,p
c4,8,8,3,3,V,1,0,0,1,0,p
